"origin_geoid","conteo","suma_trip_scaled_ratio","geometry","longitud","latitud"
"1300300030090017",2,9.91,c(-98.9465042188471, 20.2436961808463),-98.9465042188471,20.2436961808463
"1300300040029034",1,25.87,c(-98.9522805131761, 20.3260893674485),-98.9522805131761,20.3260893674485
"1300300050391002",1,6,c(-98.9766917093723, 20.2559786672041),-98.9766917093723,20.2559786672041
"1300300050391003",1,3.29,c(-98.9769300233983, 20.2513736358373),-98.9769300233983,20.2513736358373
"1300300050391005",2,17.01,c(-98.9856284442094, 20.2516709185352),-98.9856284442094,20.2516709185352
"1300300050391012",2,46,c(-98.9871363009294, 20.2561332663521),-98.9871363009294,20.2561332663521
"1300300050391013",1,13.49,c(-98.981209401841, 20.2596787319564),-98.981209401841,20.2596787319564
"1300300050391016",1,8.28,c(-98.9868020051311, 20.260870260849),-98.9868020051311,20.260870260849
"1300300050391017",1,10.14,c(-98.9697901873982, 20.2484658187755),-98.9697901873982,20.2484658187755
"1300300050391020",1,8.96,c(-98.9886032957913, 20.2655401161646),-98.9886032957913,20.2655401161646
"1300300050404004",2,36.27,c(-98.9627217993628, 20.2608866254102),-98.9627217993628,20.2608866254102
"1300300050404007",2,45.41,c(-98.9678652256922, 20.2615002090075),-98.9678652256922,20.2615002090075
"1300300050404012",1,12.42,c(-98.9726888646142, 20.2586099361829),-98.9726888646142,20.2586099361829
"1300300050404015",2,33.04,c(-98.9728803497657, 20.2622850252948),-98.9728803497657,20.2622850252948
"1300300050404024",1,15.62,c(-98.9575979556708, 20.257625196987),-98.9575979556708,20.257625196987
"1300300070029002",9,128.42,c(-98.950288709737, 20.3029258397295),-98.950288709737,20.3029258397295
"1300300070029014",1,8.33,c(-98.9530920797338, 20.3083640588372),-98.9530920797338,20.3083640588372
"1300300090090004",2,5.96,c(-98.9664994978948, 20.2114469934654),-98.9664994978948,20.2114469934654
"1300300090090007",1,7.84,c(-98.9662698463518, 20.2092043078435),-98.9662698463518,20.2092043078435
"1300300090090018",1,30.57,c(-98.9630536571595, 20.2167260364015),-98.9630536571595,20.2167260364015
"1300300090090021",1,36.66,c(-98.9697632025982, 20.2037505999768),-98.9697632025982,20.2037505999768
"1300300100230011",1,113.26,c(-98.9543341402865, 20.1945444869665),-98.9543341402865,20.1945444869665
"1300300100230017",1,11.08,c(-98.9532141737688, 20.1920218706115),-98.9532141737688,20.1920218706115
"1300300100230030",1,187.5,c(-98.9601794596456, 20.1976600988209),-98.9601794596456,20.1976600988209
"1300300100245004",2,20.9,c(-98.9518358999842, 20.1958404028505),-98.9518358999842,20.1958404028505
"1300300100245005",3,195.11,c(-98.9517262169364, 20.1976524539144),-98.9517262169364,20.1976524539144
"1300300100245016",1,8.48,c(-98.9512907438336, 20.186687332876),-98.9512907438336,20.186687332876
"1300300100245036",2,27.21,c(-98.9465001501783, 20.1899597977347),-98.9465001501783,20.1899597977347
"1300300110029002",5,112.36,c(-98.9415566966068, 20.2955601057186),-98.9415566966068,20.2955601057186
"1300300110029004",2,28,c(-98.9378347001362, 20.3076476229627),-98.9378347001362,20.3076476229627
"1300300110029007",1,6.56,c(-98.9352719879102, 20.2951556000924),-98.9352719879102,20.2951556000924
